"CYMG","YMG","Manitouwadge","49.08027800:-085.86555600","CY","Canada"
"CYMW","YMW","Maniwaki","46.26799200:-075.99283600","CY","Canada"
"PAML","MLY","Manley Hot Springs","64.99482661:-150.65083823","PA","Alaska"
"EDFM","MHG","Mannheim City","49.47299200:008.50602800","ED","Germany"
"PAMB","KMO","Manokotak","58.98681900:-159.05295600","PA","Alaska"
"WASR","MKW","Manokwari/rendani","-00.88277500:134.04891400","WA","Indonesia"
"EGMH","MSE","Manston","51.34455000:001.32683100","EG","United Kingdom"
"DRZA","AJY","Manu Dayak","16.96091900:007.98705600","DR","Niger"
"FQMA","MPM","Maputo","-25.92485000:032.57015000","FQ","Mozambique"
"SAZM","MDQ","Mar Del Plata Brig Gen D Bartolome","-37.92886400:-057.58393300","SA","Argentina"
"SBMA","MAB","Maraba","-05.37434200:-049.14500000","SB","Brazil"
"DRRM","MFQ","Maradi","13.50165000:007.11823600","DR","Niger"
"KAVQ","AVW","Marana Rgnl","32.41766900:-111.22621100","KA","United States of America"
"SKUA","MQZ","Marandua Ab","05.51791400:-068.68148300","SK","Colombia"
"CYSP","YSP","Marathon","48.76000000:-086.34805600","CY","Canada"
"LTCR","MQM","Mardin","37.21437800:040.62312200","LT","Turkey"
"NWWR","MEE","Mare","-21.47827500:168.03433600","NW","New Caledonia"
"SBSL","SLZ","Marechal Cunha Machado","-02.59689200:-044.24337800","SB","Brazil"
"SBCY","CGB","Marechal Rondon","-15.64371700:-056.12163100","SB","Brazil"
"YMBA","MRG","Mareeba","-17.06789700:145.41728100","YM","Australia"
"FAMG","MGH","Margate","-30.86301899:030.34013520","FA","South Africa"
"EGYM","MRH","Marham","52.64120726:000.53351168","EG","United Kingdom"
"MDBH","BRX","Maria Montez Intl","18.25773100:-071.13297800","MD","Dominican Republic"
"SPZA","NZA","Maria Reiche Neuman","-14.85606400:-074.96605800","SP","Peru"
"MUGT","GAO","Mariana Grajales","20.09573600:-075.16112500","MU","Cuba"
"LJMB","MBX","Maribor","46.48915000:015.67709400","LJ","Slovenia"
"TFFM","GBJ","Marie Galante","15.86761100:-061.27582200","TF","Guadeloupe"
"EFMA","MHQ","Mariehamn","60.11436400:019.89136700","EF","Finland"
"SBML","MII","Marilia","-22.20429400:-049.92829200","SB","Brazil"
"LIRJ","EBA","Marina Di Campo","42.76604200:010.23743100","LI","Italy"
"RPUW","MRQ","Marinduque","13.36722200:121.82345800","RP","Philippines"
"SBMK","MOC","Mario Ribeiro","-16.70579200:-043.82867500","SB","Brazil"
"KAPT","APT","Marion Co Brown Fld","35.05689200:-085.58892200","KA","United States of America"
"SKQU","MQU","Mariquita","05.20442800:-074.88403900","SK","Colombia"
"SECU","CUE","Mariscal Lamar","-02.89473300:-078.99113900","SE","Ecuador"
"SVBS","MYC","Mariscal Sucre","10.25298300:-067.66150000","SV","Venezuela"
"UKCM","MPW","Mariupol Intl","47.06534400:037.44347500","UK","Ukraine"
"OJAM","ADJ","Marka Intl","31.96626400:035.97598100","OJ","Jordan and the West Bank"
"FMNR","WMN","Maroantsetra","-15.43416700:049.68361300","FM","Comoros, Madagascar, Mayotte, Réunion"
"YBMC","MCY","Maroochydore Sunshine Coast","-26.59436900:153.09432500","YB","Australia"
"HEMA","RMF","Marsa Alam Intl","25.56881900:034.57618900","HE","Egypt"
"HLMB","LMQ","Marsa Brega","30.38647200:019.57005600","HL","Libya"
"LFML","MRS","Marseille/provence","43.44916500:005.19734500","LF","France"
"MYAM","MHH","Marsh Harbour","26.51120800:-077.09111100","MY","Bahamas"
"PADM","MLL","Marshall Don Hunter Sr","61.86379400:-162.03534200","PA","Alaska"
"PKMJ","MAJ","Marshall Islands Intl","07.06215600:171.26143900","PK","Marshall Islands"
"SBMT","SAO","Marte","-23.50783100:-046.64545800","SB","Brazil"
"WBGM","MUR","Marudi","04.17854400:114.31757200","WB","Malaysia, Brunei"
"UTAM","MYP","Mary","37.63277800:061.89722200","UT","Tajikistan, Turkmenistan, Uzbekistan"
"YMYB","MBH","Maryborough","-25.50638118:152.71271339","YM","Australia"
"CYMH","YMH","Marys Harbour","52.30194581:-055.85111203","CY","Canada"
"RPVJ","MBT","Masbate","12.36508100:123.62580800","RP","Philippines"
"OIMM","MHD","Mashhad Intl","36.24676700:059.62436900","OI","Iran"
"OOMA","MSH","Masirah","20.68450000:058.88820000","OO","Oman"
"HHMS","MSW","Massawa Intl","15.66593300:039.35426700","HH","Eritrea"
"CZMT","ZMT","Masset","54.03042000:-132.12439900","CZ","Canada"
"NZMS","MRO","Masterton","-40.97410300:175.62785300","NZ","New Zealand, Antarctica"
"FVMV","MVZ","Masvingo Intl","-20.05480300:030.85893100","FV","Zimbabwe"
"CYNM","YNM","Matagami","49.76646400:-077.81009200","CY","Canada"
"NTGV","MVT","Mataiva","-14.86286900:-148.71558900","NT","French Polynesia"
"NZMA","MTA","Matamata","-37.73653383:175.73627072","NZ","New Zealand, Antarctica"
"CYME","YME","Matane","48.85391700:-067.46241700","CY","Canada"
"WRRA","AMI","Mataram Selaparang","-08.56066700:116.08516900","WR","Indonesia"
"FZJH","IRP","Matari","02.83487800:027.57958900","FZ","Democratic Republic of the Congo"
"SCIP","IPC","Mataveri Intl","-27.15796400:-109.43666900","SC","Chile"
"SKPE","PEI","Matecana","04.80990300:-075.74819700","SK","Colombia"
"RPMQ","MXI","Mati National","06.95488900:126.26810000","RP","Philippines"
"FDMS","MTS","Matsapha","-26.53600600:031.29704400","FD","Swaziland"
"RJAF","MMJ","Matsumoto","36.17565800:137.92093600","RJ","Japan"
"RJOM","MYJ","Matsuyama","33.83458300:132.68936900","RJ","Japan"
"LIDT","ZIA","Mattarello","46.02591700:011.12486100","LI","Italy"
"MYIG","IGA","Matthew Town","20.97583300:-073.67711100","MY","Bahamas"
"SVMT","MUN","Maturin","09.74281700:-063.16054400","SV","Venezuela"
"LFQJ","XME","Maubeuge Elesmes","50.30644400:004.02658300","LF","France"
"WRKC","MOF","Maumere Wai Oti","-08.64581400:122.23044200","WR","Indonesia"
"FBMN","MUB","Maun","-19.97621400:023.42240800","FB","Botswana"
"NTTP","MAU","Maupiti","-16.42655600:-152.24814400","NT","French Polynesia"
"VYMM","MNU","Mawlamyine","16.43881100:097.65636900","VY","Myanmar"
"MUCA","AVI","Maximo Gomez","22.02005800:-078.80500000","MU","Cuba"
"FCBB","BZV","Maya Maya","-04.26127200:015.24162500","FC","Republic of the Congo"
"MYMM","MYG","Mayaguana","22.37391100:-073.02245300","MY","Bahamas"
"CYMA","YMA","Mayo","63.61635600:-135.88325300","CY","Canada"
"SVSO","STD","Mayor Buenaventura Vivas","07.56991700:-072.04805600","SV","Venezuela"
"LFCK","DCM","Mazamet","43.56266100:002.28210300","LF","France"
"OAMS","MZR","Mazar I Sharif","36.70103600:067.19345800","OA","Afghanistan"
"FZEA","MDK","Mbandaka","00.03246900:018.28756100","FZ","Democratic Republic of the Congo"
"FNBC","SSY","Mbanza Congo","-06.26246100:014.24355300","FN","Angola"
"FZWA","MJM","Mbuji Mayi","-06.11271100:023.56613100","FZ","Democratic Republic of the Congo"
"PAMX","MXY","Mc Carthy Nr 2","61.43327821:-142.90991828","PA","Alaska"
"PAMC","MCG","Mc Grath","62.95920000:-155.60528100","PA","Alaska"
"PAIN","MCL","Mc Kinley National Park","63.73668213:-148.90950533","PA","Alaska"
"CYLJ","YLJ","Meadow Lake","54.12482178:-108.53369460","CY","Canada"
"WIMM","MES","Medan/polonia","03.54907500:098.66221700","WI","Indonesia"
"SKMD","EOH","Medellin Olaya Herrera","06.20875000:-075.59264200","SK","Colombia"
"CYXH","YXH","Medicine Hat","50.01402800:-110.72806900","CY","Canada"
"YMEK","MKR","Meekatharra","-26.60912930:118.53509763","YM","Australia"
"LFHM","MVV","Megeve","45.82040550:006.65122163","LF","France"
"VNMG","MEY","Meghauli","27.57603000:084.22358900","VN","Nepal"
"ENMH","MEH","Mehamn","71.02556769:027.82586748","EN","Norway"
"PAMY","MYU","Mekoryuk","60.36975000:-166.27839200","PA","Alaska"
"WAMN","MNA","Melangguane (dgac)","04.01033112:126.67337393","WA","Indonesia"
"YMEN","MEB","Melbourne Essendon","-37.73139227:144.89288031","YM","Australia"
"YMML","MEL","Melbourne Intl","-37.65319339:144.83491261","YM","Australia"
"YMMB","MBW","Melbourne Moorabbin","-37.97176812:145.09929840","YM","Australia"
"GEML","MLN","Melilla","35.28586400:-002.96117800","GE","Ceuta and Melilla"
"TDPD","DOM","Melville Hall","15.54477800:-061.30637800","TD","Dominica"
"RJCM","MMB","Memanbetsu","43.89180800:144.16260600","RJ","Japan"
"GMMX","RAK","Menara","31.60837500:-008.05253600","GM","Morocco"
"LFNB","MEN","Mende Brenoux","44.50548600:003.52619200","LF","France"
"AYMN","MDU","Mendi","-06.14170800:143.65640800","AY","Papua New Guinea"
"FNME","SPP","Menongue","-14.65013900:017.70552800","FN","Angola"
"LEMH","MAH","Menorca","39.85125800:004.21631900","LE","Spain"
"WAKK","MKQ","Merauke Mopah","-08.51241700:140.41562200","WA","Indonesia"
"TJPS","PSE","Mercedita","18.01123900:-066.57246700","TJ","Puerto Rico"
"WASM","RDE","Merdei/jahabra (dgac)","-01.59111100:133.29378016","WA","Indonesia"
"LFKX","MFX","Meribel","45.40904593:006.57626137","LF","France"
"YMER","MIM","Merimbula","-36.91286700:149.89658900","YM","Australia"
"PACV","CDV","Merle K Mudhole Smith","60.49670600:-145.49674200","PA","Alaska"
"PAMR","MRI","Merrill Fld","61.21590300:-149.85330600","PA","Alaska"
"HEMM","MUH","Mersa Matruh","31.32201700:027.21488900","HE","Egypt"
"LFQT","HZB","Merville Calonne","50.61182800:002.63434200","LF","France"
"LFSF","MZM","Metz Frescaty","49.06166400:006.12996900","LF","France"
"LFJL","ETZ","Metz Nancy Lorraine","48.96959200:006.23569200","LF","France"
"WITC","MEQ","Meulaboh/cut Nyak Dien (local Gov)","04.04778926:096.24866780","WI","Indonesia"
"LFLP","NCY","Meythet","45.92353331:006.09216133","LF","France"
"FLMF","MFU","Mfuwe","-13.26015800:031.92652800","FL","Zambia"
"FMMN","ZVA","Miandrivazo","-19.55861100:045.44805600","FM","Comoros, Madagascar, Mayotte, Réunion"
"OPMI","MWD","Mianwali","32.55693900:071.55567800","OP","Pakistan"
"PAMD","MDO","Middleton Island","59.44420800:-146.31285300","PA","Alaska"
"PMDY","MDY","Midway Atoll","28.19747409:-177.39289238","PM","Midway Island"
"UUEM","KLD","Migalovo","56.82182200:035.73791900","UU","Russia"
"RJOH","YGJ","Miho","35.48750000:133.22581700","RJ","Japan"
"EFMI","MIK","Mikkeli","61.68968300:027.18685000","EF","Finland"
"LGMK","JMK","Mikonos","37.44325300:025.34465800","LG","Greece"
"LIML","LIN","Milano Linate","45.45621700:009.27586700","LI","Italy"
"LIMC","MXP","Milano Malpensa","45.64546100:008.71872500","LI","Italy"
"LTFE","BJV","Milas Bodrum","37.25496700:027.64921400","LT","Turkey"
"EGUN","MHZ","Mildenhall","52.36433300:000.46800000","EG","United Kingdom"
"YMIA","MQL","Mildura","-34.22641900:142.07386100","YM","Australia"
"NZMF","MFN","Milford Sound","-44.67356794:167.91980460","NZ","New Zealand, Antarctica"
"LGML","MLO","Milos","36.69546208:024.47057989","LG","Greece"
"SBMC","MQH","Minacu","-13.55402800:-048.19893300","SB","Brazil"
"ROMD","MMD","Minami Daito","25.84003100:131.26148300","RO","Japan"
"WIPT","PDG","Minangkabau","-00.77564700:100.27558300","WI","Indonesia"
"MMMT","MTT","Minatitlan","18.09437200:-094.58371900","MM","Mexico"
"WAKD","MDP","Mindiptanah (dgac)","-05.87436846:140.70893196","WA","Indonesia"
"URMM","MRV","Mineralnyye Vody","44.23441700:043.06125600","UR","Russia"
"SAEZ","EZE","Ministro Pistarini (ezeiza)","-34.81918422:-058.55340482","SA","Argentina"
"SBNF","NVT","Ministro Victor Konder","-26.88440000:-048.65839700","SB","Brazil"
"DNMN","MXJ","Minna New","09.64153600:006.45133600","DN","Nigeria"
"UMMM","MHP","Minsk 1","53.86965600:027.52733300","UM","Belarus"
"UMMS","MSQ","Minsk Velikiydvor","53.89485657:028.01252869","UM","Belarus"
"LFVM","MQC","Miquelon","47.09610800:-056.38679700","LF","France"
"SKMF","MFS","Miraflores","-01.35589429:-071.94489203","SK","Colombia"
"CYCH","YCH","Miramichi","47.00777800:-065.46944400","CY","Canada"
"WBGR","MYY","Miri","04.31082800:113.98158600","WB","Malaysia, Brunei"
"UERR","MJZ","Mirny","62.52768445:114.01651709","UE","Russia"
"RJSM","MSJ","Misawa Ab","40.70444200:141.35037800","RJ","Japan"
"HLLM","MJI","Mitiga","32.89522200:013.26950000","HL","Libya"
"LGMT","MJT","Mitilini","39.07499200:026.58451400","LG","Greece"
"RJTQ","MYE","Miyakejima","34.06641100:139.55775600","RJ","Japan"
"ROMY","MMY","Miyako","24.77573600:125.28900300","RO","Japan"
"RJFM","KMI","Miyazaki","31.87618300:131.43528300","RJ","Japan"
"FAMU","MZQ","Mkuzi","-27.61844700:032.04056400","FA","South Africa"
"ENRA","MQN","Mo I Rana Rossvoll","66.36666892:014.29539901","EN","Norway"
"WABD","ONI","Moanamani (dgac)","-04.00990581:136.03549325","WA","Indonesia"
"FQMP","MZB","Mocimboa Da Praia","-11.37000600:040.35103900","FQ","Mozambique"
"OPMJ","MJD","Moenjodaro","27.33307200:068.13335800","OP","Pakistan"
"GMMI","ESU","Mogador Intl","31.40586400:-009.68603100","GM","Morocco"
"UMOO","MVQ","Mogilev","53.96321100:030.08174400","UM","Belarus"
"DABC","CZL","Mohamed Boudiaf Intl","36.28805600:006.61055600","DA","Algeria"
"GMMN","CMN","Mohammed V Intl","33.38404400:-007.59351700","GM","Morocco"
"SPMS","YMS","Moises Benzaquen Rengifo","-05.89315300:-076.12633900","SP","Peru"
"RKJM","MPK","Mokpo","34.75432200:126.37318600","RK","South Korea"
"PHMK","MKK","Molokai","21.14963300:-157.10107200","PH","Hawaii"
"HKMO","MBA","Mombasa Moi Intl","-04.03951900:039.59167200","HK","Kenya"
"VYMO","MOE","Momeik","23.09522500:096.63927800","VY","Myanmar"
"AYMO","MAS","Momote","-02.05392500:147.42138100","AY","Papua New Guinea"
"DTMB","MIR","Monastir Habib Bourguiba Intl","35.75410800:010.73843600","DT","Tunisia"
"RJEB","MBE","Monbetsu","44.30992500:143.39470300","RJ","Japan"
"EDLN","MGL","Monchengladbach","51.23372200:006.49778600","ED","Germany"
"MMMV","LOV","Monclova Intl","26.95115600:-101.48095600","MM","Mexico"
"VYMS","MOG","Mong Hsat","20.52048600:099.25073300","VY","Myanmar"
"FLMG","MNR","Mongu","-15.25508100:023.15531400","FL","Zambia"
"GLRB","ROB","Monrovia Roberts Intl","06.22082800:-010.37012800","GL","Liberia"
"GLMR","MLW","Monrovia Spriggs Payne","06.28253600:-010.76394400","GL","Liberia"
"LFHZ","XSN","Mont Blanc","45.94668700:006.64000900","LF","France"
"LFBM","XMJ","Mont De Marsan","43.91071700:-000.53177800","LF","France"
"CYYY","YYY","Mont Joli","48.60361100:-068.21638900","CY","Canada"
"LFNQ","QZE","Mont Louis La Quillane","42.55354386:002.11290754","LF","France"
"LFDB","XMW","Montauban","44.02880600:001.37370000","LF","France"
"LFSM","XMF","Montbeliard Courcelles","47.48559200:006.77945800","LF","France"
"SARM","MCS","Monte Caseros","-30.26457200:-057.63995000","SA","Argentina"
"SBMD","MEU","Monte Dourado","-00.89370000:-052.60937200","SB","Brazil"
"MKJS","MBJ","Montego Bay Sangster Intl","18.49872800:-077.92482500","MK","Jamaica"
"LFLQ","XMK","Montelimar Ancone","44.58664608:004.74292749","LF","France"
"SUMU","MVD","Montevideo Carrasco Intl","-34.84403600:-056.03999200","SU","Uruguay"
"LIPO","VBS","Montichiari","45.43831728:010.31796071","LI","Italy"
"LPMT","PAF","Montijo","38.70500300:-009.03717200","LP","Portugal"
"LFBK","MCU","Montlucon Gueret","46.23097500:002.36125000","LF","France"
"LFMT","MPL","Montpellier/mediterranee","43.58614900:003.95574600","LF","France"
"CYMX","YMX","Montreal Mirabel Intl","45.67111100:-074.02166700","CY","Canada"
"CYUL","YUL","Montreal Pierre E Trudeau Intl","45.46111400:-073.76583100","CY","Canada"
"NTTM","MOZ","Moorea","-17.48621900:-149.76576700","NT","French Polynesia"
"CYMJ","YMJ","Moose Jaw Air Vice Marshal C M Mcewen","50.33791326:-105.57483779","CY","Canada"
"CYMO","YMO","Moosonee","51.28810300:-080.60893900","CY","Canada"
"ESKM","MXX","Mora","60.96561400:014.50599400","ES","Sweden"
"YMRB","MOV","Moranbah","-22.05134400:148.07525800","YM","Australia"
"YMOR","MRZ","Moree","-29.50628303:149.84304156","YM","Australia"
"LFRU","MXN","Morlaix Ploujean","48.59770600:-003.82294200","LF","France"
"FAMS","MEZ","Morningside Farm","-25.71060000:026.90696900","FA","South Africa"
"FMSR","MXM","Morombe","-21.75903300:043.37254400","FM","Comoros, Madagascar, Mayotte, Réunion"
"SADM","MOR","Moron","-34.68886896:-058.64645906","SA","Argentina"
"FMMV","MOQ","Morondava","-20.28486700:044.31478600","FM","Comoros, Madagascar, Mayotte, Réunion"
"YMRY","MYA","Moruya","-35.88883600:150.14830600","YM","Australia"
"UUDD","DME","Moscou Domodedovo","55.42328300:037.90799700","UU","Russia"
"UUEE","SVO","Moscou Sheremetyevo","55.96709700:037.38628600","UU","Russia"
"FXMM","MSU","Moshoeshoe I Intl","-29.46953300:027.55023600","FX","Lesotho"
"LKMT","OSR","Mosnov","49.68532200:018.09324700","LK","Czech Republic"
"LQMO","OMO","Mostar","43.29286700:017.84029400","LQ","Bosnia and Herzegovina"
"ORBM","OSB","Mosul","36.31680000:043.14177500","OR","Iraq"
"NZMK","MZP","Motueka","-41.12508789:172.98859174","NZ","New Zealand, Antarctica"
"FOGM","MJL","Mouilla Ville","-01.83721700:011.05490000","FO","Gabon"
"GMFK","ERH","Moulay Ali Cherif","31.95658300:-004.41493100","GM","Morocco"
"FTTD","MQQ","Moundou","08.61770600:016.06675800","FT","Chad"
"NZMC","MON","Mount Cook","-43.75999700:170.13016900","NZ","New Zealand, Antarctica"
"YMTG","MGB","Mount Gambier","-37.74030000:140.78969700","YM","Australia"
"AYMH","HGU","Mount Hagen","-05.82376100:144.29086100","AY","Papua New Guinea"
"YHOT","MHU","Mount Hotham","-37.04470362:147.32805960","YH","Australia"
"YBMA","ISA","Mount Isa","-20.65504145:139.48588070","YB","Australia"
"YMNE","WME","Mount Keith","-27.28369755:120.54577572","YM","Australia"
"YMOG","MMG","Mount Magnet","-28.10726165:117.83544356","YM","Australia"
"EGYP","MPN","Mount Pleasant","-51.81769700:-058.47630800","EG","United Kingdom"
"PAMO","MOU","Mountain Village","62.09075800:-163.68833900","PA","Alaska"
"SPBB","MBP","Moyobamba","-06.01135537:-076.98601564","SP","Peru"
"FAUT","UTT","Mthatha","-31.54433600:028.66468100","FA","South Africa"
"HTMT","MYW","Mtwara","-10.34924400:040.18108300","HT","Tanzania"
"SNMU","MVS","Mucuri","-18.05458100:-039.86697800","SN","Brazil"
"YMDG","DGE","Mudgee","-32.56974700:149.60202200","YM","Australia"
"FQMD","MUD","Mueda","-11.66307200:039.55907800","FQ","Mozambique"
"EDDM","MUC","Muenchen Franz Josef Strauss","48.34066900:011.75101700","ED","Germany"
"EDDG","FMO","Muenster Osnabrueck","52.13151000:007.67005800","ED","Germany"
"OYRN","RIY","Mukalla Intl","14.65627200:049.36272800","OY","Yemen"
"UIUU","UUD","Mukhino","51.80498300:107.41650300","UI","Russia"
"WIPU","MPC","Muko Muko","-02.53907228:101.08539780","WI","Indonesia"
"WAJM","LII","Mulia (dgac)","-03.70184975:137.96010898","WA","Indonesia"
"OPMT","MUX","Multan Intl","30.21569400:071.41994400","OP","Pakistan"
"WBMU","MZV","Mulu","04.04275000:114.80116600","WB","Malaysia, Brunei"
"AGGM","MUA","Munda","-08.32918100:157.25693600","AG","Solomon Islands"
"MGTK","FRS","Mundo Maya Intl","16.91865300:-089.87953600","MG","Guatemala"
"LELC","MJV","Murcia San Javier","37.76772200:-000.82155600","LE","Spain"
"ZMMN","MXV","Muren","49.66560800:100.08304400","ZM","Mongolia"
"ULMM","MMK","Murmansk","68.79098100:032.73363100","UL","Russia"
"LTCK","MSR","Mus","38.75484700:041.64292200","LT","Turkey"
"CYQA","YQA","Muskoka","44.98472200:-079.30833300","CY","Canada"
"TVSM","MQS","Mustique","12.88652200:-061.18449400","TV","Saint Vincent and the Grenadines"
"OPMF","MFG","Muzaffarabad","34.34170600:073.50495600","OP","Pakistan"
"VEMZ","MZU","Muzaffarpur","26.12047800:085.30778100","VE","India"
"FOON","MVB","Mvengue","-01.64495000:013.42984200","FO","Gabon"
"HTDA","DAR","Mwalimu Julius K Nyerere Intl","-06.88286400:039.19779200","HT","Tanzania"
"HTMW","MWZ","Mwanza","-02.43822500:032.92012200","HT","Tanzania"
"VYME","MGZ","Myeik","12.45199700:098.62202800","VY","Myanmar"
"VYMK","MYT","Myitkyina","25.37684200:097.34647200","VY","Myanmar"
"UKON","NLV","Mykolaiv Intl","47.05063100:031.90673900","UK","Ukraine"
"FWUU","ZZU","Mzuzu","-11.43916900:034.00981900","FW","Malawi"
"WABI","NBX","Nabire","-03.36218900:135.49433900","WA","Indonesia"
"FQNC","MNC","Nacala","-14.49950000:040.71133300","FQ","Mozambique"
"NFFN","NAN","Nadi Intl","-17.77374700:177.42846400","NF","Fiji, Tonga"
"AYNZ","MFO","Nadzab","-06.57079772:146.73547210","AY","Papua New Guinea"
"RPUN","WNP","Naga","13.58040000:123.26571100","RP","Philippines"
"RJFU","NGS","Nagasaki","32.92702200:129.90271400","RJ","Japan"
"RJNA","NKM","Nagoya","35.26643900:136.91741900","RJ","Japan"
"ROAH","OKA","Naha","26.20934200:127.64523300","RO","Japan"
"HKJK","NBO","Nairobi Jomo Kanyatta Intl","-01.32774140:036.91612339","HK","Kenya"
"HKNW","WIL","Nairobi Wilson","-01.31888300:036.81191400","HK","Kenya"
"RJCN","SHB","Nakashibetsu","43.57450000:144.94808300","RJ","Japan"
"UBBN","NAJ","Nakhchivan","39.19899400:045.44555800","UB","Azerbaijan"
"VTBK","KDT","Nakhon Pathom Kamphaeng Saen Rtaf","14.09117800:099.91095000","VT","Thailand"
"VTUW","KOP","Nakhon Phanom","17.39304200:104.63623300","VT","Thailand"
"VTUQ","NAK","Nakhon Ratchasima","14.94494200:102.30416900","VT","Thailand"
"VTPI","TKH","Nakhon Sawan Takhli Rtaf","15.29091900:100.29617500","VT","Thailand"
"VTSF","NST","Nakhon Si Thammarat","08.53014200:099.94372500","VT","Thailand"
"CYQN","YQN","Nakina","50.18221900:-086.70361400","CY","Canada"
"VIBK","BKB","Nal","28.06173600:073.19726700","VI","India"
"URMN","NAL","Nalchik","43.50825000:043.62443300","UR","Russia"
"FNMO","MSZ","Namibe","-15.26575800:012.13605800","FN","Angola"
"WAPR","NAM","Namlea/maluku (iaf)","-03.23409341:127.09863958","WA","Indonesia"
"FQNP","APL","Nampula","-15.11181400:039.27511100","FQ","Mozambique"
"VYNS","NMS","Namsang","20.87580600:097.72791100","VY","Myanmar"
"ENNM","OSY","Namsos","64.47122746:011.57015630","EN","Norway"
"VTCN","NNT","Nan","18.79951100:100.78008600","VT","Thailand"
"CYCD","YCD","Nanaimo","49.05924200:-123.86997400","CY","Canada"
"LFSN","ENC","Nancy Essey","48.68657500:006.22586900","LF","France"
"WIOG","NPO","Nanga Pinoh I","-00.34812500:111.74317200","WI","Indonesia"
"RCFG","LZN","Nangan","26.15338900:119.95496900","RC","Republic of China (Taiwan)"
"CYSR","YSR","Nanisivik","72.98357500:-084.64266900","CY","Canada"
"RJBD","SHM","Nanki Shirahama","33.66931700:135.35773600","RJ","Japan"
"LFRS","NTE","Nantes-atlantique","47.14160300:-001.61954400","LF","France"
"KACK","ACK","Nantucket Mem","41.24694400:-070.07252500","KA","United States of America"
"KAPC","APC","Napa Co","38.22320605:-122.27796036","KA","United States of America"
"NZNR","NPE","Napier","-39.46294400:176.86768900","NZ","New Zealand, Antarctica"
"LIRN","NAP","Naples Capodichino","40.87978600:014.27754200","LI","Italy"
"KAPF","APF","Naples Muni","26.14721700:-081.78139400","KA","United States of America"
"VTSC","NAW","Narathiwat","06.51161100:101.73979700","VT","Thailand"
"RJAA","NRT","Narita Intl","35.77438900:140.36829200","RJ","Japan"
"YNBR","NAA","Narrabri","-30.31405370:149.82762560","YN","Australia"
"YNAR","NRA","Narrandera","-34.69334714:146.50548348","YN","Australia"
"YNRM","QRM","Narromine","-32.21231961:148.21768336","YN","Australia"
"BGBW","UAK","Narsarsuaq","61.15435300:-045.43691700","BG","Greenland"
"ENNK","NVK","Narvik Framnes","68.43316878:017.38233750","EN","Norway"
"VANR","ISK","Nasik Road","19.96395600:073.80112500","VA","India"
"MYNN","NAS","Nassau Intl","25.05182500:-077.47564200","MY","Bahamas"
"CYNA","YNA","Natashquan","50.19296100:-061.79743100","CY","Canada"
"WION","NTX","Natuna/ranai","03.92029700:108.38833300","WI","Indonesia"
"ANYN","INU","Nauru International","-00.54118100:166.91173600","AN","Nauru"
"NFNA","SUV","Nausori Intl","-18.04049700:178.55090800","NF","Fiji, Tonga"
"OPNH","WNS","Nawabshah","26.20784200:068.38524200","OP","Pakistan"
"LGNX","JNX","Naxos","37.07754736:025.36830100","LG","Greece"
"FTTJ","NDJ","Ndjamena Hassan Djamous","12.12491700:015.02473100","FT","Chad"
"FZAA","FIH","Ndjili Intl","-04.39716700:015.42672200","FZ","Democratic Republic of the Congo"
"FLND","NLA","Ndola","-12.99735000:028.65404400","FL","Zambia"
"FZAB","NLO","Ndolo","-04.32918300:015.32016900","FZ","Democratic Republic of the Congo"
"LGBL","VOL","Nea Anchialos","39.21764400:022.77866900","LG","Greece"
"SAZO","NEC","Necochea","-38.48286700:-058.81562200","SA","Argentina"
"DTTZ","TOE","Nefta","33.93963100:008.08368300","DT","Tunisia"
"FNNG","GXG","Negage","-07.74467500:015.28318900","FN","Angola"
"KAXV","AXV","Neil Armstrong","40.49179700:-084.30769400","KA","United States of America"
"OENG","EAM","Nejran","17.60453300:044.40670800","OE","Saudi Arabia"
"NZNS","NSN","Nelson","-41.30272200:173.21986100","NZ","New Zealand, Antarctica"
"PAOU","NLG","Nelson Lagoon","56.00811400:-161.17009200","PA","Alaska"
"GQNI","EMN","Nema","16.62106900:-007.32638600","GQ","Mauritania"
"PANN","ENN","Nenana Muni","64.54560800:-149.08706400","PA","Alaska"
"VNNG","KEP","Nepalgunj","28.10256700:081.65944700","VN","Nepal"
"BGCO","CNP","Nerlerit Inaat/constable Pynt","70.73778416:-022.65315331","BG","Greenland"
"VECC","CCU","Netaji Subhash Chandra Bose Intl","22.64218900:088.44630300","VE","India"
"LSGN","QNC","Neuchatel","46.95785822:006.86002786","LS","Switzerland"
"LFQG","NVS","Nevers Fourchambault","47.00650300:003.10425000","LF","France"
"MYCB","CAT","New Bight","24.31476400:-075.45998900","MY","Bahamas"
"RJCC","CTS","New Chitose","42.76163900:141.69282500","RJ","Japan"
"RJFR","KKJ","New Kitakyushu","33.85759200:131.03230600","RJ","Japan"
"NZNP","NPL","New Plymouth","-39.01044400:174.16986100","NZ","New Zealand, Antarctica"
"PANW","KNW","New Stuyahok","59.45231900:-157.32892800","PA","Alaska"
"RJFG","TNE","New Tanegashima","30.60998900:130.98228600","RJ","Japan"
"EGNT","NCL","Newcastle","55.03353300:-001.70633800","EG","United Kingdom"
"FANC","NCS","Newcastle","-27.77048319:029.96926682","FA","South Africa"
"YNWN","ZNE","Newman","-23.42376123:119.79464680","YN","Australia"
"PAEW","WWT","Newtok","60.94156738:-164.64259934","PA","Alaska"
